Forma ;Lemma;Analisi ;olivetti_url;;;
ὦμμεθα;ὁράω;perfetto medio/passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὦμσθε;ὁράω;perfetto medio/passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὦμνται;ὁράω;perfetto medio/passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἐνήνεγμαι;φέρω;perfetto medio/passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἐνήνεγσαι;φέρω;perfetto medio/passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἐνήνεγται;φέρω;perfetto medio/passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἐνήνεγμεθα;φέρω;perfetto medio/passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἐνήνεγσθε;φέρω;perfetto medio/passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἐνήνεγνται;φέρω;perfetto medio/passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἐδήδεμαι;ἐσθίω;perfetto medio/passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδεσαι;ἐσθίω;perfetto medio/passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδεται;ἐσθίω;perfetto medio/passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδεμεθα;ἐσθίω;perfetto medio/passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδεσθε;ἐσθίω;perfetto medio/passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδενται;ἐσθίω;perfetto medio/passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ᾑρέθην;αἱρέω;aoristo passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾑρέθης;αἱρέω;aoristo passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
